Format: datum, börskurs
Ericsson
02-08-01	7.15
02-08-02	6.72
02-08-05	5.56
02-08-06	5.49
02-08-07	5.63
02-08-08	6.18
02-08-09	6.00
02-08-12	6.10
02-08-13	6.60
02-08-14	5.90
02-08-15	5.50
02-08-16	5.30
02-08-19	5.25
02-08-20	5.85
02-08-21	7.00
02-08-22	8.75
02-08-23	7.30
02-08-26	6.70
02-08-27	6.50
02-08-28	6.50
02-08-29	7.05
02-08-30	7.15
02-09-02	6.75
02-09-03	6.30
02-09-04	6.40
02-09-05	6.15
02-09-06	6.75
02-09-09	6.35
02-09-10	5.95
02-09-11	6.55
02-09-12	6.15
02-09-13	5.80
02-09-16	5.40
02-09-17	4.99
02-09-18	4.80
02-09-19	4.75
02-09-20	4.61
02-09-23	4.30
02-09-24	4.22
02-09-25	4.10
02-09-26	4.12
02-09-27	3.92
02-09-30	3.37
02-10-01	3.60
02-10-02	4.23
02-10-03	4.30
02-10-04	4.12
02-10-07	3.81
02-10-08	3.70
02-10-09	3.65
02-10-10	3.92
02-10-11	4.45
02-10-14	4.24
02-10-15	4.82
02-10-16	4.40
02-10-17	4.96
02-10-18	5.70
02-10-21	6.20
02-10-22	6.05
02-10-23	5.65
02-10-24	6.35
02-10-25	6.60
02-10-28	7.40
02-10-29	6.85
02-10-30	7.35
02-10-31	7.40
02-11-01	7.25
Electrolux
02-08-01	167.50
02-08-02	165.50
02-08-05	154.00
02-08-06	156.50
02-08-07	163.50
02-08-08	164.00
02-08-09	166.50
02-08-12	169.00
02-08-13	167.00
02-08-14	166.00
02-08-15	169.00
02-08-16	170.00
02-08-19	173.00
02-08-20	172.50
02-08-21	173.00
02-08-22	175.50
02-08-23	169.50
02-08-26	165.50
02-08-27	169.50
02-08-28	166.50
02-08-29	160.00
02-08-30	161.50
02-09-02	161.00
02-09-03	154.00
02-09-04	154.00
02-09-05	150.00
02-09-06	157.00
02-09-09	155.50
02-09-10	163.00
02-09-11	168.00
02-09-12	159.50
02-09-13	156.50
02-09-16	159.00
02-09-17	164.00
02-09-18	159.00
02-09-19	156.50
02-09-20	153.00
02-09-23	150.50
02-09-24	142.00
02-09-25	140.00
02-09-26	148.00
02-09-27	148.50
02-09-30	140.00
02-10-01	144.00
02-10-02	138.50
02-10-03	128.00
02-10-04	130.50
02-10-07	120.50
02-10-08	123.50
02-10-09	125.00
02-10-10	134.00
02-10-11	139.50
02-10-14	142.50
02-10-15	158.00
02-10-16	153.00
02-10-17	158.50
02-10-18	157.00
02-10-21	157.50
02-10-22	142.00
02-10-23	137.50
02-10-24	142.50
02-10-25	140.00
02-10-28	138.50
02-10-29	133.50
02-10-30	140.00
02-10-31	139.00
02-11-01	134.50
AstraZeneca
02-08-01	339.50
02-08-02	360.50
02-08-05	353.00
02-08-06	333.50
02-08-07	324.50
02-08-08	343.50
02-08-09	351.00
02-08-12	351.00
02-08-13	345.50
02-08-14	335.00
02-08-15	342.50
02-08-16	344.50
02-08-19	304.00
02-08-20	282.00
02-08-21	282.50
02-08-22	284.00
02-08-23	285.00
02-08-26	287.00
02-08-27	283.00
02-08-28	276.00
02-08-29	270.50
02-08-30	269.50
02-09-02	277.50
02-09-03	279.00
02-09-04	282.00
02-09-05	286.50
02-09-06	295.00
02-09-09	294.50
02-09-10	301.00
02-09-11	304.00
02-09-12	296.00
02-09-13	290.00
02-09-16	288.50
02-09-17	287.00
02-09-18	281.50
02-09-19	273.50
02-09-20	280.00
02-09-23	266.00
02-09-24	261.00
02-09-25	275.00
02-09-26	288.50
02-09-27	295.50
02-09-30	276.00
02-10-01	290.00
02-10-02	306.50
02-10-03	307.00
02-10-04	297.00
02-10-07	293.00
02-10-08	282.50
02-10-09	288.00
02-10-10	288.00
02-10-11	295.50
02-10-14	333.50
02-10-15	337.50
02-10-16	326.50
02-10-17	348.00
02-10-18	347.00
02-10-21	337.00
02-10-22	336.50
02-10-23	338.50
02-10-24	340.50
02-10-25	341.00
02-10-28	339.00
02-10-29	333.00
02-10-30	336.00
02-10-31	340.00
02-11-01	327.50
Volvo
02-08-01	102.00
02-08-02	103.50
02-08-05	103.00
02-08-06	104.50
02-08-07	102.50
02-08-08	102.50
02-08-09	104.00
02-08-12	104.50
02-08-13	106.50
02-08-14	105.00
02-08-15	110.00
02-08-16	107.00
02-08-19	103.50
02-08-20	104.00
02-08-21	103.00
02-08-22	104.50
02-08-23	105.00
02-08-26	105.50
02-08-27	106.50
02-08-28	107.00
02-08-29	108.00
02-08-30	110.00
02-09-02	101.50
02-09-03	99.50
02-09-04	102.00
02-09-05	104.00
02-09-06	105.50
02-09-09	105.00
02-09-10	103.00
02-09-11	105.50
02-09-12	107.50
02-09-13	108.00
02-09-16	109.50
02-09-17	110.00
02-09-18	112.00
02-09-19	113.50
02-09-20	112.50
02-09-23	111.00
02-09-24	110.50
02-09-25	112.00
02-09-26	113.50
02-09-27	114.00
02-09-30	110.50
02-10-01	111.00
02-10-02	111.50
02-10-03	109.00
02-10-04	111.50
02-10-07	112.50
02-10-08	113.00
02-10-09	112.00
02-10-10	114.50
02-10-11	115.00
02-10-14	114.00
02-10-15	114.00
02-10-16	115.50
02-10-17	113.00
02-10-18	111.50
02-10-21	112.50
02-10-22    110.50
02-10-23	113.00
02-10-24	114.00
02-10-25	112.00
02-10-28	113.50
02-10-29	115.00
02-10-30	116.50
02-10-31	117.00
02-11-01	116.50
